dataSymbol,tiingo_name,tiingo_start,tiingo_end,membership_from,membership_to
DDR,DDR Corp,1993-02-02,2018-10-11,2007-03-23,2009-03-30
DDS,Dillard`s Inc - Class A,1989-06-30,2026-08-04,,2008-10-22
DFS,Discover Financial Services,2007-06-14,2025-05-16,2007-07-02,2025-05-17
DISCK,Warner Bros. Discovery Inc - Series C,2008-09-18,2022-09-16,2014-08-07,2022-04-11
DISH,Dish Network Corp - Class A,1995-06-21,2024-01-09,2017-03-13,2023-06-20
DLX,Deluxe Corp,1987-07-23,2026-08-04,,2004-12-20
DNR,Denbury Resources Inc,1995-09-06,2020-07-30,2009-04-02,2015-03-23
DPS,Dr Pepper Snapple Group Inc,2008-05-07,2018-07-09,,2018-07-02
DRE,Duke Realty Corp,1987-11-05,2022-10-03,2017-07-26,2022-10-03
DXC,DXC Technology Company,2017-02-01,2026-08-04,,2023-10-06
EDS,Exceed Company Ltd,2007-12-03,2015-04-29,,2008-08-26
EMN,Eastman Chemical Company,1993-12-14,2026-08-05,,2025-11-04
ESRX,Express Scripts Holding Company,1992-06-09,2018-12-20,2003-09-26,2018-12-21
ETFC,E TRADE Financial Corp,1996-08-16,2020-10-02,2004-04-01,2020-10-07
ETSY,Etsy Inc,2015-04-16,2026-08-04,2020-09-21,2024-09-22
EVHC,Envision Healthcare Holdings Inc,2013-08-14,2018-12-14,2016-12-02,2018-10-11
FCPT,Four Corners Property Trust Inc,2015-11-10,2026-08-04,2015-11-10,2015-11-17
FDO,Family Dollar Stores Inc,1985-02-25,2015-07-13,2001-08-06,2015-07-07
FHN,First Horizon Corporation,1990-03-26,2026-08-04,2002-05-06,2013-06-24
FL,Foot Locker Inc,1970-01-02,2026-08-04,2016-04-04,2019-08-09
FLIR,Flir Systems Inc,1993-06-22,2021-05-14,2009-01-02,2021-05-14
FLR,Fluor Corporation,2000-12-01,2026-08-04,2000-12-22,2019-06-03
FLS,Flowserve Corp,1990-03-26,2026-08-04,2008-10-02,2021-03-22
FLT,Fleetcor Technologies Inc,2010-12-15,2026-08-04,2018-06-20,2024-03-26
FMC,FMC Corp,1985-07-01,2026-08-04,,2025-03-25
FMCC,Federal Home Loan Mortgage Corp,1988-12-02,2026-08-04,,2008-09-11
FNMA,Federal National Mortgage Association,1977-01-03,2026-08-04,,2008-09-11
FOSL,Fossil Group Inc,1993-04-08,2026-08-07,2012-04-03,2016-01-05
FRX,Forest Laboratories Inc,1988-04-19,2014-07-01,2000-11-22,2014-07-01
FTI,TechnipFMC plc,2001-06-14,2026-08-04,2009-06-05,2021-02-12
FWLT,Foster Wheeler AG,1972-06-01,2014-12-03,,2000-01-31
GAS,AGL Resources Inc,1973-05-03,2016-07-01,,2016-07-01
GENZ,VANECK DIGITAL NATIVE ECONOMY ETF ,2008-01-24,2026-08-04,2001-12-14,2011-04-04
GGP,General Growth Properties Inc,1993-04-08,2018-08-28,2007-07-02,2018-08-28
GHC,Graham Holdings Co. - Class B,1990-01-24,2026-08-04,2007-12-31,2014-09-22
GMCR,Green Mountain Coffee Roasters Inc,2001-01-12,2016-03-04,2014-03-24,2016-03-03
GME,Gamestop Corporation - Class A,2002-02-13,2026-08-05,2007-12-14,2016-04-25
GNW,Genworth Financial Inc - Class A,2004-05-25,2026-08-04,2005-12-02,2015-11-18
GRA,W.R. Grace & Company,1982-01-04,2021-09-22,,2000-12-11
GT,Goodyear Tire & Rubber Company,1970-01-02,2026-08-04,,2019-02-27
HAR,Harman International Industries IncDE,2016-01-04,2017-03-10,,2017-03-16
HBI,Hanesbrands Inc,2006-09-06,2026-08-04,2015-03-23,2021-12-20
HCBK,Hudson City Bancorp Inc,1999-07-13,2015-10-30,2007-02-15,2015-11-02
HES,Hess Corporation,1983-04-06,2025-07-18,,2025-07-22
HNZ,H.J. Heinz Company,2001-01-02,2013-10-17,,2013-06-07
HOG,Harley-Davidson Inc,1987-11-05,2026-08-04,2000-01-31,2020-06-22
HOT,DEFIANCE HOT SAUCE DAILY 2X STRATEGY ETF ,2016-01-04,2016-10-03,,2016-09-22
HP,Helmerich & Payne Inc,1980-10-15,2026-08-04,,2020-05-22
HPC,HERCULES INC,2006-12-28,2008-11-24,,2008-11-14
HRB,H&R Block Inc,1986-11-12,2026-08-04,,2020-09-21
HSP,Hospira Inc,2004-05-03,2015-09-02,2004-05-03,2015-09-03
ILMN,Illumina Inc,2000-07-28,2026-08-04,2015-11-19,2024-06-23
IPG,Interpublic Group Of Cos. Inc,1987-11-05,2025-11-26,,2025-11-28
IPGP,IPG Photonics Corp,2006-12-13,2026-08-04,2018-03-07,2022-06-21
ITT,ITT Inc,1995-12-18,2026-08-04,,2011-11-01
JDSU,JDS Uniphase Corp,1993-11-17,2015-08-03,2000-07-27,2013-12-23
JEF,Jefferies Financial Group Inc,1987-11-05,2026-08-04,2007-08-27,2019-09-26
JNPR,Juniper Networks Inc,1999-06-25,2025-07-02,2006-06-02,2025-07-04
JNS,Janus Capital Group Inc,2000-06-26,2017-05-30,2000-07-13,2011-11-23
JNY,The Jones Group Inc,1991-05-16,2014-04-09,2001-12-17,2009-03-04
JOY,Joy Global Inc,2001-05-25,2017-04-13,2011-02-28,2015-10-08
JWN,Nordstrom Inc,1986-07-09,2025-05-20,,2020-06-22
K,Kellanova,1984-12-17,2025-12-11,,2025-12-11
KATE,Kate Spade & Company,1981-06-09,2017-07-12,,2008-12-02
KBH,KB Home,1987-11-05,2026-08-04,,2009-12-21
KMG,KMG Chemicals Inc,1997-01-28,2018-12-14,,2006-08-11
KRFT,Kraft Foods Group Inc,2012-09-17,2015-07-10,2012-10-02,2015-07-06
KSS,Kohl`s Corp,1992-05-19,2026-08-04,,2020-09-21
KSU,Kansas City Southern,1987-11-05,2021-12-13,,2021-12-14
LEG,Leggett & Platt Inc,1987-11-05,2026-08-04,,2021-12-20
LLL,GRANITESHARES 2X LONG LLY DAILY ETF ,1998-05-19,2019-06-28,,2019-07-01
LLTC,Linear Technology Corp,2016-01-04,2017-03-20,2000-04-03,2017-03-13
LM,Legg Mason Inc,1987-11-05,2020-07-31,2006-04-24,2016-12-02
LNC,Lincoln National Corp,1984-10-05,2026-08-04,,2023-09-18
LO,Lorillard Inc,2002-02-01,2015-06-22,2008-06-11,2015-06-12
LPX,Louisiana-Pacific Corp,1982-01-04,2026-08-04,,2006-11-10
LSI,Life Storage Inc,1995-06-21,2023-07-19,,2014-05-07
LUMN,Lumen Technologies Inc,1987-11-05,2026-08-04,2020-09-18,2023-03-20
LVLT,Level 3 Communications Inc,1998-03-31,2017-11-01,2014-11-05,2017-10-13
M,Macy`s Inc,1992-02-05,2026-08-04,,2020-04-06
MAC,Macerich Company,1994-03-10,2026-08-04,2013-05-09,2019-12-23
MAT,Mattel Inc,1982-01-04,2026-08-04,,2019-06-07
MBC,MasterBrand Inc,2022-12-09,2026-08-06,2022-12-15,2022-12-19
MBI,MBIA Inc,1987-07-02,2026-08-04,,2009-12-21
MDR,McDermott International,1982-12-31,2020-01-22,,2003-08-20
MER,MERRILL LYNCH CO INC,2006-12-28,2008-12-31,,2009-01-02
